year,month,date,area_cgsm_km2,n_scenes
2015,1,2015-01-01,435.3435820096278,2
2015,2,2015-02-01,409.8186213447773,1
2015,3,2015-03-01,435.34544503698385,1
2015,4,2015-04-01,425.02885622022154,1
2015,5,2015-05-01,411.46689829669333,2
2015,6,2015-06-01,422.9560526197126,1
2015,7,2015-07-01,366.25475181308343,1
2015,8,2015-08-01,368.6066424113075,1
2015,9,2015-09-01,405.7273075344323,2
2015,10,2015-10-01,353.6683874692502,1
2015,11,2015-11-01,402.5461046975423,2
2015,12,2015-12-01,402.23423850179256,1
2016,1,2016-01-01,376.1377662416309,1
2016,2,2016-02-01,422.0377917876987,1
2016,3,2016-03-01,422.9896450936153,1
2016,4,2016-04-01,395.93782990833114,1
2016,5,2016-05-01,424.6865683436129,2
2016,8,2016-08-01,426.8176599308586,2
2016,9,2016-09-01,406.69232992215615,1
2016,10,2016-10-01,330.15506344828486,2
2016,11,2016-11-01,415.2422970585557,2
2016,12,2016-12-01,418.70875970797744,1
2017,1,2017-01-01,433.61032738306153,2
2017,2,2017-02-01,428.6349674889474,1
2017,3,2017-03-01,430.98416376065984,3
2017,4,2017-04-01,428.52225396265385,2
2017,5,2017-05-01,435.32281811877095,3
2017,6,2017-06-01,435.89595955751656,3
2017,7,2017-07-01,436.14990456392803,3
2017,8,2017-08-01,397.83184768712806,4
2017,9,2017-09-01,432.50631052286496,2
2017,10,2017-10-01,413.6994484385682,3
2017,11,2017-11-01,420.40201741886125,3
2017,12,2017-12-01,434.6671970109457,3
2018,1,2018-01-01,435.74301190359864,2
2018,2,2018-02-01,435.31346076652466,3
2018,3,2018-03-01,425.1197006429964,1
2018,4,2018-04-01,425.3580406028087,3
2018,5,2018-05-01,431.605781373662,2
2018,6,2018-06-01,435.70915088435163,3
2018,7,2018-07-01,433.6653389269942,2
2018,8,2018-08-01,435.3030393020651,3
2018,9,2018-09-01,430.91655560947976,3
2018,10,2018-10-01,404.7935779174928,2
2018,11,2018-11-01,433.658870409119,3
2018,12,2018-12-01,428.38453678340966,2
2019,1,2019-01-01,434.53960347840916,3
2019,2,2019-02-01,430.6083772683875,2
2019,3,2019-03-01,434.5606639680035,3
2019,4,2019-04-01,432.07157287964907,2
2019,5,2019-05-01,429.87675774119936,3
2019,6,2019-06-01,433.21957411951956,2
2019,7,2019-07-01,434.87721850321464,3
2019,8,2019-08-01,418.4641605788076,2
2019,9,2019-09-01,429.9930485228761,3
2019,10,2019-10-01,428.2623345323883,3
2019,11,2019-11-01,433.07230010427753,2
2019,12,2019-12-01,434.7590301826036,3
2020,1,2020-01-01,434.906823527121,2
2020,2,2020-02-01,435.6799682393615,3
2020,3,2020-03-01,434.87685658182164,2
2020,4,2020-04-01,434.9158865863538,3
2020,5,2020-05-01,425.8486329599552,2
