sat_date;fecha;SENSOR;delta_days;lat;lon;latitud;longitud;concentracion;unidades;b2;b3;b4;b5
03/12/2023;04/12/2023 09:59;LANDSAT;1.415972222;10.73208046;-74.42758179;10.73208;-74.42758;0.79;mg/L;0.00361;0.0122175;0.01274;0.0175525
17/07/2019;15/07/2019 11:25;LANDSAT;1.524305556;10.8569603;-74.41130066;10.85696;-74.4113;2;mg/L;0.003885;0.028635;0.0171675;0.0099625
16/12/2022;15/12/2022 09:21;LANDSAT;0.610416667;10.73208046;-74.42758179;10.73208;-74.42758;2.6;mg/L;0.003335;0.00856;0.018735;0.0040225
05/12/2018;03/12/2018 08:50;LANDSAT;1.631944444;10.8740797;-74.33000183;10.87408;-74.33;2.93;mg/L;0.0046;0.008945;0.01549;0.006305
16/12/2022;15/12/2022 08:59;LANDSAT;0.625694444;10.77441025;-74.37545013;10.77441;-74.37545;3.64;mg/L;0.0039675;0.0094125;0.01197;0.0049025
05/12/2018;03/12/2018 09:55;LANDSAT;1.586805556;10.73208046;-74.42758179;10.73208;-74.42758;6;mg/L;0.0146375;0.020605;0.02077;0.016205
16/12/2022;15/12/2022 08:21;LANDSAT;0.652083333;10.8740797;-74.33000183;10.87408;-74.33;7.7;mg/L;0.0056725;0.0106775;0.0148025;0.005645
05/12/2018;03/12/2018 09:57;LANDSAT;1.585416667;10.73208046;-74.42758179;10.73208;-74.42758;9.8;mg/L;0.0146375;0.020605;0.02077;0.016205
05/12/2018;03/12/2018 09:30;LANDSAT;1.604166667;10.77441025;-74.37545013;10.77441;-74.37545;10.4;mg/L;0.0113925;0.0282775;0.0242075;0.0083675
16/12/2022;15/12/2022 10:00;LANDSAT;0.583333333;10.8569603;-74.41130066;10.85696;-74.4113;11.3;mg/L;0.01483;0.0335575;0.0251425;0.00526
05/12/2018;03/12/2018 08:51;LANDSAT;1.63125;10.8740797;-74.33000183;10.87408;-74.33;11.5;mg/L;0.0046;0.008945;0.01549;0.006305
14/07/2018;16/07/2018 10:50;LANDSAT;2.451388889;10.8569603;-74.41130066;10.85696;-74.4113;11.6;mg/L;0.027645;0.0419175;0.0281675;0.0151325
06/07/2021;06/07/2021 11:08;LANDSAT;0.463888889;10.8569603;-74.41130066;10.85696;-74.4113;12.4;mg/L;0.0079275;0.0300925;0.01736;0.005865
19/11/2024;19/11/2024 11:14;LANDSAT;0.468055556;10.8569603;-74.41130066;10.85696;-74.4113;14.2;mg/L;0.0091375;0.01879;0.0155725;0.004655
12/06/2018;12/06/2018 10:30;LANDSAT;0.4375;10.8569603;-74.41130066;10.85696;-74.4113;14.3;mg/L;0.003115;0.01483;0.0333375;0.0274525
03/12/2023;04/12/2023 09:40;LANDSAT;1.402777778;10.77441025;-74.37545013;10.77441;-74.37545;15;mg/L;0.01494;0.030285;0.0250875;0.015325
12/06/2018;12/06/2018 09:30;LANDSAT;0.395833333;10.77441025;-74.37545013;10.77441;-74.37545;15.8;mg/L;0.0087525;0.0245925;0.0134825;0.007955
06/03/2023;07/03/2023 10:05;LANDSAT;1.420138889;10.8569603;-74.41130066;10.85696;-74.4113;16.2;mg/L;0.02473;0.0479675;0.0446125;0.01516
05/12/2018;03/12/2018 09:31;LANDSAT;1.603472222;10.77441025;-74.37545013;10.77441;-74.37545;17.7;mg/L;0.0204675;0.0335025;0.0288275;0.01186
