sat_date,fecha,SENSOR,delta_days,lat,lon,latitud,longitud,concentracion,unidades,b2,b3,b4,b5,weight,station,TSS_scenA,TSS_scenB,TSS_scenC,TSS_scenD
03/12/2023,04/12/2023 09:59,LANDSAT,1.415972222,10.73208046,-74.42758179,10.73208,-74.42758,0.79,mg/L,0.00361,0.0122175,0.01274,0.0175525,0.24268955059432853,"10.732,-74.428",13.670510112877215,18.88775045975008,25.408097858054635,53.354139745150555
17/07/2019,15/07/2019 11:25,LANDSAT,1.524305556,10.8569603,-74.41130066,10.85696,-74.4113,2.0,mg/L,0.003885,0.028635,0.0171675,0.0099625,0.2177722349887415,"10.857,-74.411",18.739943964145176,26.738139675499756,33.29554269108711,9.451245469760869
16/12/2022,15/12/2022 09:21,LANDSAT,0.610416667,10.73208046,-74.42758179,10.73208,-74.42758,2.6,mg/L,0.003335,0.00856,0.018735,0.0040225,0.5431245198573345,"10.732,-74.428",20.576995838327473,29.470864123248823,38.24453656579532,9.25606102051315
05/12/2018,03/12/2018 08:50,LANDSAT,1.631944444,10.8740797,-74.33000183,10.87408,-74.33,2.93,mg/L,0.0046,0.008945,0.01549,0.006305,0.19554897019351067,"10.874,-74.33",16.798730992200536,22.029006393840195,29.537951483579842,3.9204852978997264
16/12/2022,15/12/2022 08:59,LANDSAT,0.625694444,10.77441025,-74.37545013,10.77441,-74.37545,3.64,mg/L,0.0039675,0.0094125,0.01197,0.0049025,0.5348898484672255,"10.774,-74.375",12.80641079508479,16.70442975435712,23.503109102905082,6.757659911156443
05/12/2018,03/12/2018 09:55,LANDSAT,1.586805556,10.73208046,-74.42758179,10.73208,-74.42758,6.0,mg/L,0.0146375,0.020605,0.02077,0.016205,0.20457808226650961,"10.732,-74.428",22.995976595491822,33.36318753465611,42.740469730490304,65.79729741873757
16/12/2022,15/12/2022 08:21,LANDSAT,0.652083333,10.8740797,-74.33000183,10.87408,-74.33,7.7,mg/L,0.0056725,0.0106775,0.0148025,0.005645,0.5209593136919243,"10.874,-74.33",16.010433494906103,20.896541531071424,28.15185313838215,4.708936376694309
05/12/2018,03/12/2018 09:57,LANDSAT,1.585416667,10.73208046,-74.42758179,10.73208,-74.42758,9.8,mg/L,0.0146375,0.020605,0.02077,0.016205,0.20486241592284754,"10.732,-74.428",22.995976595491822,33.36318753465611,42.740469730490304,65.79729741873757
05/12/2018,03/12/2018 09:30,LANDSAT,1.604166667,10.77441025,-74.37545013,10.77441,-74.37545,10.4,mg/L,0.0113925,0.0282775,0.0242075,0.0083675,0.20105703257833588,"10.774,-74.375",27.17189974396819,38.58539292762399,49.86753388082729,21.413189602464797
16/12/2022,15/12/2022 10:00,LANDSAT,0.583333333,10.8569603,-74.41130066,10.85696,-74.4113,11.3,mg/L,0.01483,0.0335575,0.0251425,0.00526,0.5580351459560587,"10.857,-74.411",28.327772443889017,42.23536821348233,50.33038298051984,15.467971997020369
05/12/2018,03/12/2018 08:51,LANDSAT,1.63125,10.8740797,-74.33000183,10.87408,-74.33,11.5,mg/L,0.0046,0.008945,0.01549,0.006305,0.19568481516547126,"10.874,-74.33",16.798730992200536,22.029006393840195,29.537951483579842,3.9204852978997264
14/07/2018,16/07/2018 10:50,LANDSAT,2.451388889,10.8569603,-74.41130066,10.85696,-74.4113,11.6,mg/L,0.027645,0.0419175,0.0281675,0.0151325,0.0861738174785018,"10.857,-74.411",32.12779652903187,48.770137693954844,57.081943411869524,32.3613909520956
06/07/2021,06/07/2021 11:08,LANDSAT,0.463888889,10.8569603,-74.41130066,10.85696,-74.4113,12.4,mg/L,0.0079275,0.0300925,0.01736,0.005865,0.6288334208957913,"10.857,-74.411",18.964334333958725,27.085575502922577,33.69422046471814,4.181370364795352
19/11/2024,19/11/2024 11:14,LANDSAT,0.468055556,10.8569603,-74.41130066,10.85696,-74.4113,14.2,mg/L,0.0091375,0.01879,0.0155725,0.004655,0.6262187324832338,"10.857,-74.411",16.89360942057816,23.905707791803305,30.01513210208092,12.295753957301532
12/06/2018,12/06/2018 10:30,LANDSAT,0.4375,10.8569603,-74.41130066,10.85696,-74.4113,14.3,mg/L,0.003115,0.01483,0.0333375,0.0274525,0.645648526427892,"10.857,-74.411",38.844273344103385,60.919410137035314,69.01520964563073,65.58409251040557
03/12/2023,04/12/2023 09:40,LANDSAT,1.402777778,10.77441025,-74.37545013,10.77441,-74.37545,15.0,mg/L,0.01494,0.030285,0.0250875,0.015325,0.24591292281733704,"10.774,-74.375",28.25953877777218,40.401139037272,51.863635621205994,24.755000669042367
12/06/2018,12/06/2018 09:30,LANDSAT,0.395833333,10.77441025,-74.37545013,10.77441,-74.37545,15.8,mg/L,0.0087525,0.0245925,0.0134825,0.007955,0.6731188732922502,"10.774,-74.375",14.508601218631782,19.109165885038347,26.627073176734427,11.585012302370169
06/03/2023,07/03/2023 10:05,LANDSAT,1.420138889,10.8569603,-74.41130066,10.85696,-74.4113,16.2,mg/L,0.02473,0.0479675,0.0446125,0.01516,0.24168044781018605,"10.857,-74.411",54.54568646579538,92.72582784391415,96.91214850008677,40.518515380526864
05/12/2018,03/12/2018 09:31,LANDSAT,1.603472222,10.77441025,-74.37545013,10.77441,-74.37545,17.7,mg/L,0.0204675,0.0335025,0.0288275,0.01186,0.20119670412081384,"10.774,-74.375",32.96939499739128,48.55578396086523,60.50745209406113,33.676458799405246
05/12/2018,03/12/2018 10:42,LANDSAT,1.554166667,10.8569603,-74.41130066,10.85696,-74.4113,19.4,mg/L,0.02198,0.04002,0.02649,0.0091925,0.21136544707273713,"10.857,-74.411",30.009000705281508,45.09756241952719,53.317446733632245,16.14113541166191
05/12/2018,03/12/2018 10:40,LANDSAT,1.555555556,10.8569603,-74.41130066,10.85696,-74.4113,19.8,mg/L,0.02198,0.04002,0.02649,0.0091925,0.21107208769728036,"10.857,-74.411",30.009000705281508,45.09756241952719,53.317446733632245,16.14113541166191
03/12/2023,04/12/2023 08:59,LANDSAT,1.374305556,10.8740797,-74.33000183,10.87408,-74.33,20.3,mg/L,0.0032525,0.0094125,0.016865,0.0100175,0.2530152397253902,"10.874,-74.33",18.388011445959393,24.345008629233718,32.3324535777396,1.8905194604459872
04/04/2022,04/04/2022 09:28,LANDSAT,0.394444444,10.77441025,-74.37545013,10.77441,-74.37545,23.1,mg/L,0.0198625,0.05267,0.0378475,0.00867,0.674054410219143,"10.774,-74.375",44.94430928500866,71.68766922946045,82.48454790203179,28.19006327061784
12/06/2018,12/06/2018 09:50,LANDSAT,0.409722222,10.73208046,-74.42758179,10.73208,-74.42758,25.6,mg/L,0.02121,0.0392775,0.0162875,0.0135375,0.663834623181704,"10.732,-74.428",17.718441628959273,24.99798868799963,32.93160936085031,84.83795837871833
14/05/2019,13/05/2019 11:15,LANDSAT,0.53125,10.8569603,-74.41130066,10.85696,-74.4113,26.1,mg/L,0.02,0.0273425,0.0393875,0.0397725,0.5878696731223465,"10.857,-74.411",47.08114534081797,76.96446761823971,83.64978506017573,47.48648418214496
04/04/2022,04/04/2022 11:17,LANDSAT,0.470138889,10.8569603,-74.41130066,10.85696,-74.4113,27.8,mg/L,0.0125475,0.037655,0.0287175,0.02726,0.6249154683705773,"10.857,-74.411",32.828813035697856,50.0016462401943,58.32745007237563,55.173644610441094
26/02/2020,25/02/2020 08:56,LANDSAT,0.627777778,10.8740797,-74.33000183,10.87408,-74.33,28.2,mg/L,0.0187075,0.03595,0.0260225,0.0327875,0.5337766542399812,"10.874,-74.33",29.42364082895895,41.74336005676601,51.73688867805481,56.82023621064415
26/02/2020,25/02/2020 10:22,LANDSAT,0.568055556,10.73208046,-74.42758179,10.73208,-74.42758,28.6,mg/L,0.007515,0.033365,0.023355,0.0222,0.5666261410258806,"10.732,-74.428",26.125555756569074,38.55151608424313,48.5571256506141,41.07792070464817
09/08/2016,08/08/2016 14:40,LANDSAT,0.388888889,10.73208046,-74.42758179,10.73208,-74.42758,31.0,mg/L,0.00779,0.0078175,0.0451625,0.023465,0.6778095779301381,"10.732,-74.428",55.35132636079592,97.1908979053565,102.87633051991682,76.64538394651916
14/07/2024,15/07/2024 10:47,LANDSAT,1.449305556,10.8569603,-74.41130066,10.85696,-74.4113,31.4,mg/L,0.0183225,0.0301475,0.0440625,0.04222,0.23473324059708806,"10.857,-74.411",53.7439141345262,90.97283227707292,95.48762743773031,66.3036415475795
26/02/2020,25/02/2020 11:02,LANDSAT,0.540277778,10.8569603,-74.41130066,10.85696,-74.4113,32.0,mg/L,0.02132,0.03925,0.02429,0.0120525,0.5825864002104676,"10.857,-74.411",27.273539206942267,40.46350736570482,48.457310797685025,29.214419204143816
12/06/2018,12/06/2018 08:40,LANDSAT,0.361111111,10.8740797,-74.33000183,10.87408,-74.33,32.5,mg/L,0.0122725,0.024455,0.02297,0.026985,0.6969015607355457,"10.874,-74.33",25.65535024577389,35.529135997830345,45.110936725265645,29.37493647778758
03/12/2023,04/12/2023 10:57,LANDSAT,1.45625,10.8569603,-74.41130066,10.85696,-74.4113,33.3,mg/L,0.0189,0.0333375,0.02297,0.011915,0.23310879571435622,"10.857,-74.411",25.65535024577389,37.77746333854454,45.58224992546937,30.616013513430175
02/10/2024,30/09/2024 08:11,LANDSAT,1.659027778,10.8569603,-74.41130066,10.85696,-74.4113,36.2,mg/L,0.0148575,0.0242075,0.03969,0.003335,0.19032392729132824,"10.857,-74.411",47.50419289966169,77.82531950202836,84.40142007481565,11.930657444330572
09/08/2016,08/08/2016 15:47,LANDSAT,0.342361111,10.8740797,-74.33000183,10.87408,-74.33,41.8,mg/L,0.00658,0.0332,0.0238775,0.0244275,0.7100917364681649,"10.874,-74.33",26.76601453539091,37.32968503786571,47.063866855314394,36.31225427224489
21/02/2024,19/02/2024 09:04,LANDSAT,1.622222222,10.8740797,-74.33000183,10.87408,-74.33,42.8,mg/L,0.02759,0.02946,0.03199,0.021045,0.1974594125176516,"10.874,-74.33",37.0659606318146,55.32727910395523,65.17471750355118,62.114897025300614
