id_estacion;SENSOR;latitud;longitud;fecha;sat_date;delta_days;concentracion;unidades;SR_B2;SR_B3;SR_B4;SR_B5
17527;SENTINEL;10.833;-74.57445;25/06/2025 13:01;24/06/2025;1.542361111;1.08;mg/L;0.093;0.0875;0.0658;0.1606
17527;SENTINEL;10.833;BADLON;12/08/2025;12/08/2025;0.454861111;1.2;mg/L;0.0193;0.0299;0.02;0.1028
57927;SENTINEL;10.84175;BADLON;17/09/2025;17/09/2025;0.496527778;1.6;mg/L;0.4672;0.4352;0.43;0.372
17524;SENTINEL;10.82579;BADLON;27/01/2025;27/01/2025;0.542361111;1.63;mg/L;0.0708;0.0952;0.101;0.0486
17527;SENTINEL;10.833;-74.57445;09/12/2025 11:37;08/12/2025;1.484027778;1.82;mg/L;0.0372;0.0586;0.0367;0.1724
17524;SENTINEL;10.82579;-74.59268;25/06/2025 12:37;24/06/2025;1.525694444;2.08;mg/L;0.0583;0.0809;0.0802;0.1288
57925;SENTINEL;10.8405;-74.51031;09/12/2025 10:56;08/12/2025;1.455555556;4.93;mg/L;0.033;0.0476;0.0377;0.0662
17527;SENTINEL;10.833;-74.57445;19/11/2024 12:07;18/11/2024;1.504861111;5.8;mg/L;0.0724;0.0919;0.0703;0.0152
57926;SENTINEL;10.82929;-74.57487;25/06/2025 12:21;24/06/2025;1.514583333;6.44;mg/L;0.0368;0.042;0.0494;0.0606
57926;SENTINEL;10.82929;-74.57487;19/11/2024 12:15;18/11/2024;1.510416667;7.2;mg/L;0.0872;0.1132;0.095;0.0976
57925;SENTINEL;10.8405;-74.51031;19/11/2024 11:46;18/11/2024;1.490277778;7.84;mg/L;0.0454;0.0442;0.0463;0.0521
17527;SENTINEL;10.833;BADLON;27/01/2025;27/01/2025;0.51875;8;mg/L;0.0307;0.0382;0.0261;0.0188
57925;SENTINEL;10.8405;BADLON;17/09/2025;17/09/2025;0.480555556;8.93;mg/L;0.0684;0.0799;0.0677;0.0379
17527;SENTINEL;10.833;BADLON;27/01/2026;27/01/2026;0.506944444;9.6;mg/L;0.0384;0.0838;0.0495;0.3664
57926;SENTINEL;10.82929;BADLON;12/08/2025;12/08/2025;0.463888889;9.88;mg/L;0.045;0.072;0.0654;0.0612
57927;SENTINEL;10.84175;-74.54596;19/11/2024 12:00;18/11/2024;1.5;9.97;mg/L;0.0496;0.065;0.0479;0.0125
17523;SENTINEL;10.84438;BADLON;17/09/2025;17/09/2025;0.488888889;10.1;mg/L;0.1814;0.1772;0.1566;0.1542
17523;SENTINEL;10.84438;-74.50986;19/11/2024 11:42;18/11/2024;1.4875;10.5;mg/L;0.0512;0.0636;0.0508;0.013
57926;SENTINEL;10.82929;-74.57487;09/12/2025 11:47;08/12/2025;1.490972222;10.6;mg/L;0.0822;0.1006;0.0854;0.1019
57926;SENTINEL;10.82929;BADLON;27/01/2026;27/01/2026;0.494444444;12.3;mg/L;0.099;0.1148;0.112;0.1104
57926;SENTINEL;10.82929;BADLON;17/09/2025;17/09/2025;0.516666667;12.3;mg/L;0.0841;0.0832;0.0987;0.0678
17523;SENTINEL;10.84438;BADLON;12/08/2025;12/08/2025;0.401388889;12.8;mg/L;0.0494;0.0814;0.0628;0.0146
17523;SENTINEL;10.84438;BADLON;27/01/2026;27/01/2026;0.458333333;14.2;mg/L;0.0423;0.0508;0.0397;0.0398
17523;SENTINEL;10.84438;-74.50986;09/12/2025 11:09;08/12/2025;1.464583333;16.2;mg/L;0.0682;0.0896;0.0881;0.0394
